"id","circuitId","effective","length","turns"
"adelaide-1","adelaide",true,3.780,16
"aida-1","aida",true,3.703,13
"ain-diab-1","ain-diab",true,7.618,18
"aintree-1","aintree",true,4.828,8
"anderstorp-1","anderstorp",true,4.031,8
"austin-1","austin",true,5.513,20
"avus-1","avus",true,8.300,4
"bahrain-1","bahrain",true,5.412,15
"bahrain-2","bahrain",false,6.299,23
"bahrain-3","bahrain",false,3.543,11
"baku-1","baku",true,6.003,20
"brands-hatch-1","brands-hatch",false,4.265,9
"brands-hatch-2","brands-hatch",true,4.207,9
"bremgarten-1","bremgarten",true,7.280,13
"buddh-1","buddh",true,5.125,16
"buenos-aires-1","buenos-aires",false,3.912,13
"buenos-aires-2","buenos-aires",false,3.353,14
"buenos-aires-3","buenos-aires",false,5.968,16
"buenos-aires-4","buenos-aires",true,4.259,19
"bugatti-1","bugatti",true,4.185,14
"caesars-palace-1","caesars-palace",true,3.650,14
"catalunya-1","catalunya",false,4.747,14
"catalunya-2","catalunya",false,4.730,13
"catalunya-3","catalunya",false,4.627,14
"catalunya-4","catalunya",false,4.655,16
"catalunya-5","catalunya",false,4.675,16
"catalunya-6","catalunya",true,4.657,14
"clermont-ferrand-1","clermont-ferrand",true,8.055,48
"dallas-1","dallas",true,3.901,23
"detroit-1","detroit",false,4.168,24
"detroit-2","detroit",true,4.023,22
"dijon-1","dijon",false,3.289,8
"dijon-2","dijon",true,3.801,12
"donington-1","donington",true,4.023,12
"east-london-1","east-london",true,3.920,9
"estoril-1","estoril",false,4.349,11
"estoril-2","estoril",true,4.360,13
"fuji-1","fuji",false,4.359,8
"fuji-2","fuji",true,4.563,16
"hockenheimring-1","hockenheimring",false,6.790,14
"hockenheimring-2","hockenheimring",false,6.802,16
"hockenheimring-3","hockenheimring",false,6.815,16
"hockenheimring-4","hockenheimring",true,4.574,17
"hungaroring-1","hungaroring",false,4.014,16
"hungaroring-2","hungaroring",false,3.975,13
"hungaroring-3","hungaroring",true,4.381,14
"imola-1","imola",false,5.040,22
"imola-2","imola",false,4.959,22
"imola-3","imola",true,4.909,19
"indianapolis-1","indianapolis",false,4.023,4
"indianapolis-2","indianapolis",true,4.192,13
"interlagos-1","interlagos",false,7.873,26
"interlagos-2","interlagos",true,4.309,15
"istanbul-1","istanbul",true,5.338,14
"jacarepagua-1","jacarepagua",true,5.031,11
"jarama-1","jarama",false,3.404,15
"jarama-2","jarama",true,3.314,14
"jeddah-1","jeddah",true,6.174,27
"jerez-1","jerez",false,4.218,16
"jerez-2","jerez",true,4.428,15
"kyalami-1","kyalami",false,4.094,9
"kyalami-2","kyalami",true,4.261,13
"las-vegas-1","las-vegas",true,6.201,17
"long-beach-1","long-beach",false,3.251,13
"long-beach-2","long-beach",false,3.428,18
"long-beach-3","long-beach",true,3.275,18
"lusail-1","lusail",true,5.419,16
"madring-1","madring",true,5.416,22
"magny-cours-1","magny-cours",false,4.271,17
"magny-cours-2","magny-cours",false,4.250,15
"magny-cours-3","magny-cours",true,4.411,17
"marina-bay-1","marina-bay",false,5.073,23
"marina-bay-2","marina-bay",false,5.065,23
"marina-bay-3","marina-bay",false,5.065,23
"marina-bay-4","marina-bay",true,4.927,19
"melbourne-1","melbourne",false,5.303,16
"melbourne-2","melbourne",true,5.278,14
"mexico-city-1","mexico-city",false,5.000,14
"mexico-city-2","mexico-city",false,4.421,14
"mexico-city-3","mexico-city",true,4.304,17
"miami-1","miami",true,5.412,19
"monaco-1","monaco",false,3.180,14
"monaco-2","monaco",false,3.145,13
"monaco-3","monaco",false,3.278,17
"monaco-4","monaco",false,3.312,20
"monaco-5","monaco",false,3.328,20
"monaco-6","monaco",true,3.337,19
"monsanto-1","monsanto",true,5.440,9
"mont-tremblant-1","mont-tremblant",true,4.265,15
"montjuic-1","montjuic",true,3.791,12
"montreal-1","montreal",false,4.410,19
"montreal-2","montreal",false,4.410,19
"montreal-3","montreal",false,4.390,17
"montreal-4","montreal",false,4.450,20
"montreal-5","montreal",false,4.421,13
"montreal-6","montreal",true,4.361,14
"monza-1","monza",false,6.300,5
"monza-2","monza",false,10.000,7
"monza-3","monza",false,5.750,5
"monza-4","monza",false,5.775,7
"monza-5","monza",false,5.780,10
"monza-6","monza",false,5.800,10
"monza-7","monza",true,5.793,11
"mosport-1","mosport",true,3.957,10
"mugello-1","mugello",true,5.245,15
"nivelles-1","nivelles",true,3.724,7
"nurburgring-1","nurburgring",false,22.810,160
"nurburgring-2","nurburgring",false,4.542,12
"nurburgring-3","nurburgring",false,4.556,12
"nurburgring-4","nurburgring",true,5.148,15
"paul-ricard-1","paul-ricard",false,5.809,14
"paul-ricard-2","paul-ricard",false,3.813,9
"paul-ricard-3","paul-ricard",true,5.842,15
"pedralbes-1","pedralbes",true,6.316,6
"pescara-1","pescara",true,25.579,24
"phoenix-1","phoenix",false,3.800,15
"phoenix-2","phoenix",true,3.721,15
"portimao-1","portimao",true,4.653,15
"porto-1","porto",true,7.406,19
"reims-1","reims",false,7.815,5
"reims-2","reims",true,8.302,7
"riverside-1","riverside",true,5.271,9
"rouen-1","rouen",false,5.100,10
"rouen-2","rouen",true,6.542,12
"sebring-1","sebring",true,8.360,17
"sepang-1","sepang",true,5.543,15
"shanghai-1","shanghai",true,5.451,16
"silverstone-1","silverstone",false,4.649,8
"silverstone-2","silverstone",false,4.719,9
"silverstone-3","silverstone",false,4.778,9
"silverstone-4","silverstone",false,5.226,14
"silverstone-5","silverstone",false,5.057,17
"silverstone-6","silverstone",false,5.072,17
"silverstone-7","silverstone",false,5.141,17
"silverstone-8","silverstone",true,5.891,18
"sochi-1","sochi",true,5.848,18
"spa-francorchamps-1","spa-francorchamps",false,14.120,21
"spa-francorchamps-2","spa-francorchamps",false,6.940,19
"spa-francorchamps-3","spa-francorchamps",false,6.976,19
"spa-francorchamps-4","spa-francorchamps",true,7.004,19
"spielberg-1","spielberg",false,5.911,16
"spielberg-2","spielberg",false,5.942,18
"spielberg-3","spielberg",true,4.326,10
"suzuka-1","suzuka",false,5.860,18
"suzuka-2","suzuka",true,5.807,18
"valencia-1","valencia",true,5.419,25
"watkins-glen-1","watkins-glen",false,3.780,8
"watkins-glen-2","watkins-glen",false,5.435,11
"watkins-glen-3","watkins-glen",true,5.435,11
"yas-marina-1","yas-marina",false,5.554,21
"yas-marina-2","yas-marina",true,5.281,16
"yeongam-1","yeongam",true,5.615,18
"zandvoort-1","zandvoort",false,4.193,19
"zandvoort-2","zandvoort",false,4.226,19
"zandvoort-3","zandvoort",false,4.226,19
"zandvoort-4","zandvoort",false,4.252,19
"zandvoort-5","zandvoort",true,4.259,14
"zeltweg-1","zeltweg",true,3.186,4
"zolder-1","zolder",false,4.220,14
"zolder-2","zolder",true,4.262,15
